"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"P96.59","Fetus and newborn affected by other intrauterine procedures","P96.5",
"P96.81","Jittery baby","P96.8",
"P96.89","Other specified conditions originating in the perinatal period","P96.8",
"Q00.00","Anencephaly, unspecified","Q00.0",
"Q00.01","Incomplete anencephaly","Q00.0",
"Q00.09","Other anencephaly","Q00.0",
"Q00.20","Iniencephaly, unspecified","Q00.2",
"Q00.21","Iniencephaly, open","Q00.2",
"Q00.22","Iniencephaly, closed","Q00.2",
"Q01.81","Parietal encephalocele","Q01.8",
"Q01.82","Orbital encephalocele","Q01.8",
"Q01.83","Nasal encephalocele","Q01.8",
"Q01.84","Nasopharyngeal encephalocele","Q01.8",
"Q01.89","Encephalocele of other specified sites","Q01.8",
"Q04.00","Congenital malformations of corpus callosum, unspecified","Q04.0",
"Q04.01","Agenesis of corpus callosum","Q04.0",
"Q04.09","Other congenital malformations of corpus callosum","Q04.0",
"Q04.31","Reduction anomalies of cerebrum","Q04.3",
"Q04.32","Reduction anomalies of hypothalamus","Q04.3",
"Q04.33","Reduction anomalies of cerebellum","Q04.3",
"Q04.34","Agyria and lissencephaly","Q04.3",
"Q04.35","Microgyria and pachygyria","Q04.3",
"Q04.36","Hydranencephaly","Q04.3",
"Q04.39","Other reduction anomalies of brain","Q04.3",
"Q04.60","Congenital cerebral cysts, unspecified","Q04.6",
"Q04.61","Single congenital cerebral cyst","Q04.6",
"Q04.62","Multiple congenital cerebral cysts","Q04.6",
"Q05.00","Cervical spina bifida with hydrocephalus, unspecified whether lesion is open or closed","Q05.0",
"Q05.01","Cervical spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane","Q05.0",
"Q05.02","Cervical spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane","Q05.0",
"Q05.10","Thoracic spina bifida with hydrocephalus, unspecified whether lesion is open or closed","Q05.1",
"Q05.11","Thoracic spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane","Q05.1",
"Q05.12","Thoracic spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane","Q05.1",
"Q05.20","Lumbar spina bifida with hydrocephalus, unspecified whether lesion is open or closed","Q05.2",
"Q05.21","Lumbar spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane","Q05.2",
"Q05.22","Lumbar spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane","Q05.2",
"Q05.30","Sacral spina bifida with hydrocephalus, unspecified whether lesion is open or closed","Q05.3",
"Q05.31","Sacral spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane","Q05.3",
"Q05.32","Sacral spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane","Q05.3",
"Q05.40","Unspecified spina bifida with hydrocephalus, unspecified whether lesion is open or closed","Q05.4",
"Q05.41","Unspecified spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane","Q05.4",
"Q05.42","Unspecified spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane","Q05.4",
"Q05.50","Cervical spina bifida without hydrocephalus, unspecified whether lesion is open or closed","Q05.5",
"Q05.51","Cervical spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane","Q05.5",
"Q05.52","Cervical spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane","Q05.5",
"Q05.60","Thoracic spina bifida without hydrocephalus, unspecified whether lesion is open or closed","Q05.6",
"Q05.61","Thoracic spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane","Q05.6",
"Q05.62","Thoracic spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane","Q05.6",
"Q05.70","Lumbar spina bifida without hydrocephalus, unspecified whether lesion is open or closed","Q05.7",
"Q05.71","Lumbar spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane","Q05.7",
"Q05.72","Lumbar spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane","Q05.7",
"Q05.80","Sacral spina bifida without hydrocephalus, unspecified whether lesion is open or closed","Q05.8",
"Q05.81","Sacral spina bifida, open, aperta, not covered with skin or membrane","Q05.8",
"Q05.82","Sacral spina bifida, closed, cystica, covered with skin or membrane","Q05.8",
"Q05.90","Spina bifida, unspecified, unspecified whether lesion is open or closed","Q05.9",
"Q05.91","Spina bifida, unspecified, open, aperta, not covered with skin or membrane","Q05.9",
"Q05.92","Spina bifida, unspecified, closed, cystica, covered with skin or membrane","Q05.9",
"Q07.81","Jaw-winking syndrome","Q07.8",
"Q07.82","Optic nerve hypoplasia","Q07.8",
"Q07.89","Other specified congenital malformations of the nervous system","Q07.8",
"Q21.00","Unspecified ventricular septal defect","Q21.0",
"Q21.01","Muscular ventricular septal defect","Q21.0",
"Q21.02","Perimembranous ventricular septal defect","Q21.0",
"Q21.09","Other ventricular septal defect","Q21.0",
"Q21.10","Unspecified atrial septal defect","Q21.1",
"Q21.11","Patent or persistent foramen ovale","Q21.1",
"Q21.12","Sinus venosus defect","Q21.1",
"Q21.19","Other atrial septal defect","Q21.1",
"Q22.41","Congenital tricuspid stenosis","Q22.4",
"Q22.42","Congenital tricuspid atresia","Q22.4",
"Q23.01","Congenital stenosis of aortic valve","Q23.0",
"Q23.02","Congenital atresia of aortic valve","Q23.0",
"Q23.21","Congenital mitral stenosis","Q23.2",
"Q23.22","Congenital mitral atresia","Q23.2",
"Q39.11","Atresia of oesophagus with fistula between trachea and upper oesophageal pouch","Q39.1",
"Q39.12","Atresia of oesophagus with fistula between trachea and lower oesophageal pouch","Q39.1",
"Q39.19","Atresia of oesophagus with tracheo-oesophageal fistula","Q39.1",
"Q39.21","Congenital tracheo-oesophageal fistula without atresia","Q39.2",
"Q39.22","Congenital broncho-oesophageal fistula without atresia","Q39.2",
"Q39.81","Congenital duplication of oesophagus","Q39.8",
"Q39.82","Oesophageal dysmotility","Q39.8",
"Q39.89","Other congenital malformations of oesophagus","Q39.8",
"Q42.00","Congenital absence, atresia and stenosis of rectum with unspecified fistula","Q42.0",
"Q42.01","Congenital absence, atresia and stenosis of rectum with rectourethral fistula","Q42.0",
"Q42.02","Congenital absence, atresia and stenosis of rectum with rectovesical fistula","Q42.0",
"Q42.03","Congenital absence, atresia and stenosis of rectum with rectovulval fistula","Q42.0",
"Q42.04","Congenital absence, atresia and stenosis of rectum with rectocutaneous fistula","Q42.0",
"Q42.05","Congenital absence, atresia and stenosis of rectum with rectocloacal fistula","Q42.0",
"Q42.09","Congenital absence, atresia and stenosis of rectum with other fistula","Q42.0",
"Q42.20","Congenital absence, atresia and stenosis of anus with unspecified fistula","Q42.2",
"Q42.21","Congenital absence, atresia and stenosis of anus with anocutaneous fistula","Q42.2",
"Q42.22","Congenital absence, atresia and stenosis of anus with anovestibular fistula","Q42.2",
"Q42.29","Congenital absence, atresia and stenosis of anus with other fistula","Q42.2",
"Q43.10","Hirschsprung's disease, unspecified","Q43.1",
"Q43.11","Short segment Hirschsprung's disease","Q43.1",
"Q43.12","Long segment Hirschsprung's disease","Q43.1",
"Q43.19","Other Hirschsprung's disease","Q43.1",
"Q43.31","Malrotation of colon","Q43.3",
"Q43.32","Congenital intra-abdominal adhesions (bands)","Q43.3",
"Q43.39","Other congenital malformations of intestinal fixation","Q43.3",
"Q44.71","Alagille syndrome","Q44.7",
"Q44.79","Other congenital malformations of liver","Q44.7",
"Q45.31","Ectopic pancreas","Q45.3",
"Q45.39","Other congenital malformations of pancreas and pancreatic duct","Q45.3",
"Q45.81","Absence (complete) (partial) of alimentary tract, not elsewhere classified","Q45.8",
"Q45.82","Duplication of digestive organs, not elsewhere classified","Q45.8",
"Q45.83","Congenital malposition of digestive organs, not elsewhere classified","Q45.8",
"Q45.84","Congenital mesenteric cyst, not elsewhere classified","Q45.8",
"Q45.89","Other specified congenital malformations of digestive system","Q45.8",
"Q50.00","Congenital absence of ovary, unspecified","Q50.0",
"Q50.01","Congenital absence of ovary, unilateral","Q50.0",
"Q50.02","Congenital absence of ovary, bilateral","Q50.0",
"Q50.10","Developmental ovarian cyst, unspecified","Q50.1",
"Q50.11","Developmental ovarian cyst, single","Q50.1",
"Q50.12","Developmental ovarian cyst, multiple","Q50.1",
"Q50.31","Ovarian streak","Q50.3",
"Q50.39","Other congenital malformations of ovary","Q50.3",
"Q50.61","Absence of fallopian tube and broad ligament","Q50.6",
"Q50.69","Other congenital malformations of fallopian tube and broad ligament","Q50.6",
"Q53.10","Undescended testicle, unilateral, unspecified site","Q53.1",
"Q53.11","Undescended testicle, unilateral, canalicular","Q53.1",
"Q53.12","Undescended testicle, unilateral, inguinal","Q53.1",
"Q53.13","Undescended testicle, unilateral, intra-abdominal","Q53.1",
"Q53.20","Undescended testicle, bilateral, unspecified site","Q53.2",
"Q53.21","Undescended testicle, bilateral, canalicular","Q53.2",
"Q53.22","Undescended testicle, bilateral, inguinal","Q53.2",
"Q53.23","Undescended testicle, bilateral, intra-abdominal","Q53.2",
"Q53.90","Undescended testicle, unspecified laterality, unspecified site","Q53.9",
"Q53.91","Undescended testicle, unspecified laterality, canalicular","Q53.9",
"Q53.92","Undescended testicle, unspecified laterality, inguinal","Q53.9",
"Q53.93","Undescended testicle, unspecified laterality, intra-abdominal","Q53.9",
"Q55.00","Absence and aplasia of testis, unspecified","Q55.0",
"Q55.01","Absence and aplasia of testis, unilateral","Q55.0",
"Q55.02","Absence and aplasia of testis, bilateral","Q55.0",
"Q55.21","Retractile testis","Q55.2",
"Q55.22","Bifid scrotum","Q55.2",
"Q55.29","Other congenital malformation of testis or scrotum","Q55.2",
"Q61.40","Renal dysplasia, unspecified","Q61.4",
"Q61.41","Cystic renal dysplasia, unilateral","Q61.4",
"Q61.42","Cystic renal dysplasia, bilateral","Q61.4",
"Q61.50","Medullary cystic kidney, unspecified","Q61.5",
"Q61.51","Juvenile medullary cystic kidney","Q61.5",
"Q61.52","Adult type medullary cystic kidney","Q61.5",
"Q62.11","Atresia and stenosis of ureteropelvic junction, unilateral","Q62.1",
"Q62.12","Atresia and stenosis of ureteropelvic junction, bilateral","Q62.1",
"Q62.13","Atresia and stenosis of ureterovesical junction, unilateral","Q62.1",
"Q62.14","Atresia and stenosis of ureterovesical junction, bilateral","Q62.1",
"Q62.18","Atresia and stenosis of other and unspecified site of ureter, unilateral","Q62.1",
"Q62.19","Atresia and stenosis of other and unspecified site of ureter, bilateral","Q62.1",
"Q62.31","Ectopic ureterocele","Q62.3",
"Q62.32","Orthotopic ureterocele","Q62.3",
"Q62.33","Congenital polyp of ureter","Q62.3",
"Q62.34","Congenital hydroureter","Q62.3",
"Q62.39","Other congenital obstructive defects of renal pelvis and ureter","Q62.3",
"Q62.51","Double ureter","Q62.5",
"Q62.52","Triple ureter","Q62.5",
"Q62.59","Other duplication of ureter","Q62.5",
"Q62.60","Malposition of ureter, unspecified ureteric drainage site","Q62.6",
"Q62.61","Malposition of ureter, ureteric drainage via bladder neck","Q62.6",
"Q62.62","Malposition of ureter, ureteric drainage via urethra","Q62.6",
"Q62.63","Malposition of ureter, ureteric drainage via vagina","Q62.6",
"Q62.64","Malposition of ureter, ureteric drainage via vulva","Q62.6",
"Q62.65","Malposition of ureter, ureteric drainage via vas deferens","Q62.6",
"Q62.66","Malposition of ureter, ureteric drainage via seminal vesicles","Q62.6",
"Q62.69","Malposition of ureter, ureteric drainage via other site","Q62.6",
"Q62.70","Congenital vesico-uretero-renal reflux, unspecified","Q62.7",
"Q62.71","Congenital vesico-uretero-renal reflux, unilateral","Q62.7",
"Q62.72","Congenital vesico-uretero-renal reflux, bilateral","Q62.7",
"Q63.01","Double kidney","Q63.0",
"Q63.02","Triple kidney","Q63.0",
"Q63.09","Other accessory kidney","Q63.0",
"Q63.10","Renal fusion anomaly, unspecified","Q63.1",
"Q63.11","Horseshoe kidney","Q63.1",
"Q63.19","Other specified renal fusion anomaly","Q63.1",
"Q63.20","Renal ectopia, unspecified","Q63.2",
"Q63.21","Pelvic kidney","Q63.2",
"Q63.22","Crossed ectopia of kidney without fusion anomaly","Q63.2",
"Q63.23","Crossed ectopia of kidney with fusion anomaly","Q63.2",
"Q63.29","Other specified renal ectopia","Q63.2",
"Q63.81","Congenital calyceal diverticulum","Q63.8",
"Q63.89","Other specified congenital malformations of kidney","Q63.8",
"Q64.11","Cloacal exstrophy","Q64.1",
"Q64.19","Exstrophy of urinary bladder","Q64.1",
"Q64.20","Congenital urethral valves, unspecified","Q64.2",
"Q64.21","Congenital posterior urethral valves","Q64.2",
"Q64.22","Congenital anterior urethral valves","Q64.2",
"Q64.31","Congenital bladder neck obstruction","Q64.3",
"Q64.32","Congenital stricture of urethra","Q64.3",
"Q64.33","Congenital stricture of urethral meatus","Q64.3",
"Q64.34","Hypoplasia of urethra","Q64.3",
"Q64.39","Other atresia and stenosis of urethra and bladder neck","Q64.3",
"Q64.41","Cyst of urachus","Q64.4",
"Q64.42","Patent urachus","Q64.4",
"Q64.43","Urachal diverticulum","Q64.4",
"Q64.49","Other specified malformation of urachus","Q64.4",
"Q64.71","Congenital anterior urethral diverticulum","Q64.7",
"Q64.72","Congenital prolapse of bladder (mucosa)","Q64.7",
"Q64.73","Double urethra","Q64.7",
"Q64.74","Ectopic urethra or urethral orifice","Q64.7",
"Q64.75","Congenital gastrointestinal-urinary tract fistula","Q64.7",
"Q64.76","Congenital megaurethra","Q64.7",
"Q64.77","Megacystitis-megaureter syndrome","Q64.7",
"Q64.78","Congenital urethral syringocele","Q64.7",
"Q64.79","Other congenital malformations of bladder and urethra","Q64.7",
"Q65.60","Unstable hip, unspecified","Q65.6",
"Q65.61","Unstable hip, unilateral","Q65.6",
"Q65.62","Unstable hip, bilateral","Q65.6",
"Q66.00","Talipes equinovarus, unspecified","Q66.0",
"Q66.01","Structural talipes equinovarus","Q66.0",
"Q66.02","Positional talipes equinovarus","Q66.0",
"Q66.81","Other congenital deformities of feet, clawfoot","Q66.8",
"Q66.89","Other congenital deformities of feet","Q66.8",
"Q67.41","Depressions in skull","Q67.4",
"Q67.42","Deviation of nasal septum, congenital","Q67.4",
"Q67.49","Other congenital deformities of skull, face and jaw","Q67.4",
"Q67.51","Congenital scoliosis, postural","Q67.5",
"Q67.52","Congenital postural curvature of spine","Q67.5",
"Q67.59","Other specified congenital deformity of spine","Q67.5",
"Q69.21","Accessory hallux [halluces]","Q69.2",
"Q69.29","Other accessory toe(s)","Q69.2",
"Q71.31","Congenital absence of finger(s) with remainder of hand intact","Q71.3",
"Q71.32","Congenital absence of thumb with all other digits intact","Q71.3",
"Q71.33","Congenital absence of hand and finger(s)","Q71.3",
"Q72.31","Congenital absence of toe(s) with remainder of foot intact","Q72.3",
"Q72.32","Congenital absence of first toe with all other digits intact","Q72.3",
"Q72.33","Congenital absence of foot and toe(s)","Q72.3",
"Q73.80","Reduction defects of unspecified limb(s), unspecified","Q73.8",
"Q73.89","Other reduction defects of unspecified limb(s)","Q73.8",
"Q74.01","Accessory carpal bones","Q74.0",
"Q74.02","Macrodactylia (fingers)","Q74.0",
"Q74.03","Triphalangeal thumb","Q74.0",
"Q74.04","Radioulnar synostosis","Q74.0",
"Q74.05","Humeroulnar synostosis","Q74.0",
"Q74.06","Humeroradial synostosis","Q74.0",
"Q74.07","Bifid digit(s) of upper limb","Q74.0",
"Q74.08","Sprengel's deformity","Q74.0",
"Q74.09","Other congenital malformations of upper limb(s), including shoulder girdle","Q74.0",
"Q74.81","Brachydactyly","Q74.8",
"Q74.82","Congenital overgrowth of limb(s)","Q74.8",
"Q74.83","Congenital undergrowth of limb(s)","Q74.8",
"Q74.84","Congenital limb asymmetry","Q74.8",
"Q74.85","Larsen's syndrome","Q74.8",
"Q74.89","Other specified congenital malformations of limb(s)","Q74.8",
"Q75.01","Coronal craniosynostosis","Q75.0",
"Q75.02","Sagittal craniosynostosis","Q75.0",
"Q75.03","Trigonocephaly","Q75.0",
"Q75.04","Craniosynostosis of other multiple sutures","Q75.0",
"Q75.05","Pfeiffer syndrome","Q75.0",
"Q75.06","Clover leaf skull","Q75.0",
"Q75.09","Other and unspecified craniosynostosis","Q75.0",
"Q75.31","Familial (benign) macrocephaly","Q75.3",
"Q75.39","Other and unspecified macrocephaly","Q75.3",
"Q75.81","Frontonasal dysplasia","Q75.8",
"Q75.89","Other specified congenital malformations of skull and face bones","Q75.8",
"Q76.21","Congenital spondylolisthesis","Q76.2",
"Q76.22","Congenital spondylolysis","Q76.2",
"Q76.31","Single hemivertebra with congenital scoliosis","Q76.3",
"Q76.39","Congenital scoliosis due to other specified congenital bony malformation","Q76.3",
"Q76.41","Congenital absence of vertebra(e)","Q76.4",
"Q76.42","Congenital anomalies of sacral vertebra(e)","Q76.4",
"Q76.43","Congenital anomalies of other vertebra(e)","Q76.4",
"Q76.44","Congenital lordosis, postural","Q76.4",
"Q76.45","Hemivertebra","Q76.4",
"Q76.49","Other congenital malformation of spine","Q76.4",
"Q76.61","Congenital absence of rib","Q76.6",
"Q76.62","Congenital fusion of ribs","Q76.6",
"Q76.63","Accessory rib","Q76.6",
"Q76.69","Other congenital malformation of ribs","Q76.6",
"Q76.71","Congenital absence of sternum","Q76.7",
"Q76.72","Sternum bifidum","Q76.7",
"Q76.79","Other specified congenital malformation of sternum","Q76.7",
"Q77.00","Achondrogenesis, unspecified","Q77.0",
"Q77.01","Achondrogenesis, type I","Q77.0",
"Q77.02","Achondrogenesis, type II","Q77.0",
"Q77.03","Hypochondrogenesis","Q77.0",
"Q77.09","Other achondrogenesis","Q77.0",
"Q77.81","Metatropic dwarfism","Q77.8",
"Q77.82","Metaphyseal chondroplasia","Q77.8",
"Q77.89","Other osteochondrodysplasia with defects of growth of tubular bones and spine","Q77.8",
"Q84.81","Aplasia cutis congenita","Q84.8",
"Q84.89","Other specified congenital malformations of integument","Q84.8",
"Q85.81","Peutz-Jeghers syndrome","Q85.8",
"Q85.82","Sturge-Weber(-Dimitri) syndrome","Q85.8",
"Q85.83","Von Hippel-Lindau syndrome","Q85.8",
"Q85.84","Gardner's syndrome","Q85.8",
"Q85.89","Other specified phakomatoses","Q85.8",
"Q86.81","Congenital malformations due to valproate","Q86.8",
"Q86.82","Congenital malformations due to Vitamin A","Q86.8",
"Q86.83","Congenital malformations due to thalidomide","Q86.8",
"Q86.84","Congenital malformations due to cytotoxic agents","Q86.8",
"Q86.85","Congenital malformations due to other drugs","Q86.8",
"Q86.86","Congenital malformations due to ionising radiation","Q86.8",
"Q86.87","Congenital malformations due to methylmercury","Q86.8",
"Q86.89","Congenital malformations due to other specified exogenous causes","Q86.8",
"Q87.01","Acrocephalopolysyndactyly","Q87.0",
"Q87.02","Acrocephalosyndactyly","Q87.0",
"Q87.03","Cryptophthalmos syndrome","Q87.0",
"Q87.04","Treacher Collins [-Franceschetti] [-Klein] syndrome","Q75.4",
"Q87.05","Hallerman-Streiff syndrome","Q87.0",
"Q87.06","Pierre Robin sequence","Q87.0",
"Q87.07","Pena-Shokeir syndrome","Q87.0",
"Q87.09","Other specified congenital malformation syndromes predominantly affecting facial appearance","Q87.0",
"Q87.11","Cockayne syndrome","Q87.1",
"Q87.12","Cornelia de Lange syndrome","Q87.1",
"Q87.13","Noonan syndrome","Q87.1",
"Q87.14","Prader-Willi syndrome","Q87.1",
"Q87.15","Russell-Silver syndrome","Q87.1",
"Q87.16","Seckel syndrome","Q87.1",
"Q87.17","Smith-Lemli-Opitz syndrome","Q87.1",
"Q87.18","Sjogren-Larsson syndrome","Q87.1",
"Q87.19","Other specified congenital malformation syndromes predominantly associated with short stature","Q87.1",
"Q87.21","Holt-Oram syndrome","Q87.2",
"Q87.22","Klippel-Trenaunay-Weber syndrome","Q87.2",
"Q87.23","Nail patella syndrome","Q87.2",
"Q87.24","Rubinstein-Taybi syndrome","Q87.2",
"Q87.25","Sirenomelia syndrome","Q87.2",
"Q87.26","Thrombocytopenia with absent radius syndrome","Q87.2",
"Q87.27","VATER association","Q87.2",
"Q87.29","Other specified congenital malformation syndromes predominantly involving limbs","Q87.2",
"Q87.31","Beckwith-Wiedemann syndrome","Q87.3",
"Q87.32","Sotos syndrome","Q87.3",
"Q87.33","Weaver syndrome","Q87.3",
"Q87.39","Other specified congenital malformation syndromes involving early overgrowth","Q87.3",
"Q87.81","Alport's syndrome","Q87.8",
"Q87.82","Laurence-Moon-Biedl syndrome","Q87.8",
"Q87.83","Zellweger syndrome","Q87.8",
"Q87.84","William's syndrome","Q87.8",
"Q87.85","Angelman syndrome","Q93.5",
"Q87.86","CHARGE syndrome","Q87.8",
"Q87.89","Other specified congenital malformation syndromes, not elsewhere classified","Q87.8",
"Q89.01","Congenital asplenia","Q89.0",
"Q89.09","Other specified congenital malformations of spleen","Q89.0",
"Q89.11","Congenital absence of adrenal gland","Q89.1",
"Q89.12","Congenital adrenal hypoplasia","Q89.1",
"Q89.19","Other specified congenital malformations of adrenal gland","Q89.1",
"Q89.21","Congenital malformations of pituitary gland","Q89.2",
"Q89.22","Congenital malformations of thyroid gland","Q89.2",
"Q89.23","Persistent thyroglossal cyst","Q89.2",
"Q89.24","Thyroglossal cyst","Q89.2",
"Q89.25","Congenital malformations of parathyroid gland","Q89.2",
"Q89.26","Congenital malformations of thymus","Q89.2",
"Q89.29","Congenital malformations of other specified endocrine glands","Q89.2",
"Q89.30","Situs inversus, unspecified","Q89.3",
"Q89.31","Dextrocardia with situs inversus","Q89.3",
"Q89.32","Mirror-image atrial arrangement with situs inversus","Q89.3",
"Q89.33","Situs inversus abdominalis","Q89.3",
"Q89.34","Situs inversus thoracis","Q89.3",
"Q89.35","Kartagener's syndrome","Q89.3",
"Q89.39","Other specified situs inversus","Q89.3",
"Q89.41","Dicephaly","Q89.4",
"Q89.42","Craniopagus","Q89.4",
"Q89.43","Thoracopagus","Q89.4",
"Q89.44","Xiphopagus","Q89.4",
"Q89.45","Pygopagus","Q89.4",
"Q89.46","Acardiac twin","Q89.4",
"Q89.49","Other specified conjoined twins","Q89.4",
"Q89.71","Dysmorphic features","Q89.7",
"Q89.79","Multiple congenital malformations, not elsewhere classified","Q89.7",
"Q89.81","Caudal dysplasia sequence","Q89.8",
"Q89.89","Other specified congenital malformations","Q89.8",
"R09.88","Other specified symptoms and signs involving the circulatory system","R09.8",
"R09.89","Other specified symptoms and signs involving the respiratory system","R09.8",
"R29.5","Neurologic neglect","Nil",
"R29.88","Other and unspecified symptoms and signs involving the nervous system","R29.8",
"R29.89","Other and unspecified symptoms and signs involving the musculoskeletal system","R29.8",
"R45.81","Suicidal ideation","R45.8",
"R45.89","Other symptoms and signs involving emotional state","R45.8",
"S00.00","Superficial injury of scalp, unspecified","S00.0",
"S00.01","Superficial injury of scalp, abrasion","S00.0",
"S00.02"," ","S00.0",
"S00.03","Superficial injury of scalp, insect bite","S00.0",
"S00.04","Superficial injury of scalp, superficial foreign body (splinter)","S00.0",
"S00.05","Superficial injury of scalp, contusion","S00.0",
"S00.08","Superficial injury of scalp, other","S00.0",
"S00.20","Other superficial injuries of eyelid and periocular area, unspecified","S00.2",
"S00.21","Other superficial injuries of eyelid and periocular area, abrasion","S00.2",
"S00.22","Other superficial injuries of eyelid and periocular area, blister","S00.2",
"S00.23","Other superficial injuries of eyelid and periocular area, insect bite","S00.2",
"S00.24","Other superficial injuries of eyelid and periocular area, superficial foreign body (splinter)","S00.2",
"S00.28","Other superficial injuries of eyelid and periocular area, other","S00.2",
"S00.30","Superficial injury of nose, unspecified","S00.3",
"S00.31","Superficial injury of nose, abrasion","S00.3",
"S00.32","Superficial injury of nose, blister","S00.3",
"S00.33","Superficial injury of nose, insect bite","S00.3",
"S00.34","Superficial injury of nose, superficial foreign body (splinter)","S00.3",
"S00.35","Superficial injury of nose, contusion","S00.3",
"S00.38","Superficial injury of nose, other","S00.3",
"S00.40","Superficial injury of ear, unspecified","S00.4",
"S00.41","Superficial injury of ear, abrasion","S00.4",
"S00.42","Superficial injury of ear, blister","S00.4",
"S00.43","Superficial injury of ear, insect bite","S00.4",
"S00.44","Superficial injury of ear, superficial foreign body (splinter)","S00.4",
"S00.45","Superficial injury of ear, contusion","S00.4",
"S00.48","Superficial injury of ear, other","S00.4",
"S00.50","Superficial injury of lip and oral cavity, unspecified","S00.5",
"S00.51","Superficial injury of lip and oral cavity, abrasion","S00.5",
"S00.52","Superficial injury of lip and oral cavity, blister","S00.5",
"S00.53","Superficial injury of lip and oral cavity, insect bite","S00.5",
"S00.54","Superficial injury of lip and oral cavity, superficial foreign body (splinter)","S00.5",
"S00.55","Superficial injury of lip and oral cavity, contusion","S00.5",
"S00.58","Superficial injury of lip and oral cavity, other","S00.5",
"S00.80","Superficial injury of other parts of head, unspecified","S00.8",
"S00.81","Superficial injury of other parts of head, abrasion","S00.8",
"S00.82","Superficial injury of other parts of head, blister","S00.8",
"S00.83","Superficial injury of other parts of head, insect bite","S00.8",
"S00.84","Superficial injury of other parts of head, superficial foreign body (splinter)","S00.8",
"S00.85","Superficial injury of other parts of head, contusion","S00.8",
"S00.88","Superficial injury of other parts of head, other","S00.8",
"S00.90","Superficial injury of head, part unspecified, unspecified","S00.9",
"S00.91","Superficial injury of head, part unspecified, abrasion","S00.9",
"S00.92","Superficial injury of head, part unspecified, blister","S00.9",
"S00.93","Superficial injury of head, part unspecified, insect bite","S00.9",
"S00.94","Superficial injury of head, part unspecified, superficial foreign body (splinter)","S00.9",
"S00.95","Superficial injury of head, part unspecified, contusion","S00.9",
"S00.98","Superficial injury of head, part unspecified, other","S00.9",
"S01.20","Open wound of nose, part unspecified","S01.2",
"S01.21","Open wound of nose, external skin","S01.2",
"S01.22","Open wound of nares (nostril)","S01.2",
"S01.23","Open wound of nasal septum","S01.2",
"S01.29","Open wound of other and multiple parts of nose","S01.2",
"S01.30","Open wound of external ear, part unspecified","S01.3",
"S01.31","Open wound of auricle","S01.3",
"S01.33","Open wound of tragus","S01.3",
"S01.34","Open wound of external auditory meatus","S01.3",
"S01.35","Open wound of eustachian tube","S01.3",
"S01.36","Open wound of ossicles","S01.3",
"S01.37","Open wound of ear drum","S01.3",
"S01.38","Open wound of inner ear","S01.3",
"S01.39","Open wound of other and multiple parts of ear and auditory structures","S01.3",
"S01.41","Open wound of cheek","S01.4",
"S01.42","Open wound of maxillary region","S01.4",
"S01.43","Open wound of mandibular region","S01.4",
"S01.49","Open wound of other and multiple sites of cheek and temporomandibular area","S01.4",
"S01.50","Open wound of mouth, part unspecified","S01.5",
"S01.51","Open wound of lip","S01.5",
"S01.52","Open wound of buccal mucosa","S01.5",
"S01.53","Open wound of gum (alveolar process)","S01.5",
"S01.54","Open wound of tongue and floor of mouth","S01.5",
"S01.55","Open wound of palate","S01.5",
"S01.59","Open wound of other and multiple parts of lip and oral cavity","S01.5",
"S01.81","Open wound (of any part of head) communicating with a fracture","S01.8",
"S01.82","Open wound (of any part of head) communicating with a dislocation","S01.8",
"S01.83","Open wound (of any part of head) communicating with an intracranial injury","S01.8",
"S02.60","Fracture of mandible, part unspecified","S02.6",
"S02.61","Fracture of condylar process","S02.6",
"S02.62","Subcondylar fracture","S02.6",
"S02.63","Fracture of coronoid process","S02.6",
"S02.64","Fracture of ramus, unspecified","S02.6",
"S02.65","Fracture of angle of jaw","S02.6",
"S02.66","Fracture of symphysis of body","S02.6",
"S02.67","Fracture of alveolar border of body","S02.6",
"S02.68","Fracture of mandible body, other and unspecified parts","S02.6",
"S02.69","Fracture of mandible, multiple sites","S02.6",
"S06.00","Concussion","S06.0",
"S06.01","Loss of consciousness of unspecified duration","S06.0",
"S06.02","Loss of consciousness of brief duration [less than 30 minutes]","S06.0",
"S06.03","Loss of consciousness of moderate duration [30 minutes to 24 hours]","S06.0",
"S06.04","Loss of consciousness of prolonged duration [more than 24 hours] with return to pre-existing conscious level","S06.0",
"S06.05","Loss of consciousness of prolonged duration [more than 24 hours] without return to pre-existing conscious level","S06.0",
